TAXID,01,02,03,04,05
216756,0.0114068441064639,0,0,0,0
191584,0,0,0.00675675675675676,0,0.0182926829268293
658556,0.00380228136882129,0,0.00675675675675676,0,0
1003065,0,0.0136363636363636,0.00675675675675676,0,0
3002,0.0114068441064639,0.00454545454545455,0.00675675675675676,0,0
1003083,0,0.00454545454545455,0,0,0
265542,0.00380228136882129,0.00454545454545455,0.00675675675675676,0,0.00609756097560976
37318,0,0,0,0,0.00609756097560976
265524,0,0,0,0,0.0121951219512195
216715,0.00380228136882129,0,0,0,0
2862,0,0.00454545454545455,0,0.00662251655629139,0.0121951219512195
196637,0.00380228136882129,0,0.00337837837837838,0,0
216776,0,0,0,0.00662251655629139,0
49237,0.0988593155893536,0.00454545454545455,0.0844594594594595,0,0.0487804878048781
431323,0.00380228136882129,0,0.00337837837837838,0,0.00609756097560976
449168,0,0,0.00337837837837838,0,0.00609756097560976
216789,0,0,0.00337837837837838,0,0
186176,0,0,0,0,0.00609756097560976
303461,0,0.00454545454545455,0,0,0
568904,0,0,0,0,0.00609756097560976
1003030,0,0.00454545454545455,0.0135135135135135,0,0
1003074,0,0.00454545454545455,0,0,0
1115525,0.00380228136882129,0,0,0,0
426670,0.00380228136882129,0,0,0,0
265536,0,0,0.00675675675675676,0,0
210452,0.00380228136882129,0,0,0,0
449403,0,0.00454545454545455,0,0,0.00609756097560976
49257,0.00760456273764259,0,0.00337837837837838,0,0
265567,0,0,0.00337837837837838,0,0
279892,0.0418250950570342,0.0272727272727273,0.0337837837837838,0,0.0670731707317073
138538,0,0,0.00337837837837838,0,0
186042,0.00380228136882129,0.0136363636363636,0,0,0
35128,0,0,0,0.00662251655629139,0.0304878048780488
216727,0,0,0.00337837837837838,0,0
137465,0,0.00454545454545455,0,0,0
83370,0,0,0,0.0132450331125828,0
443637,0,0,0,0.00662251655629139,0
163515,0.0152091254752852,0,0.00337837837837838,0,0
908989,0,0,0.0202702702702703,0.0264900662251656,0.00609756097560976
216819,0,0,0.00337837837837838,0,0
655749,0,0.00454545454545455,0.0236486486486486,0,0
216740,0.0684410646387833,0.00454545454545455,0.00675675675675676,0.0397350993377483,0.0365853658536585
33641,0.00760456273764259,0.00909090909090909,0.0168918918918919,0,0
210601,0,0,0.00337837837837838,0,0
33639,0.00380228136882129,0.0772727272727273,0.0304054054054054,0,0
1048530,0.0114068441064639,0,0,0,0
33648,0,0.00454545454545455,0.00675675675675676,0,0
1115532,0.00380228136882129,0,0,0,0
1003045,0,0.00454545454545455,0,0,0
1089218,0.00380228136882129,0,0,0,0
433947,0,0,0,0,0.0121951219512195
50949,0.00760456273764259,0.0318181818181818,0.0675675675675676,0.0860927152317881,0.0121951219512195
431579,0.00380228136882129,0,0,0,0
431391,0.00380228136882129,0,0,0,0
432550,0,0.00454545454545455,0.00337837837837838,0,0.00609756097560976
29203,0.0456273764258555,0.0954545454545455,0.0236486486486486,0.0927152317880795,0.0121951219512195
2857,0.00760456273764259,0.0318181818181818,0.0168918918918919,0,0
2842,0.0418250950570342,0.0863636363636364,0.0371621621621622,0.0463576158940397,0.0487804878048781
216821,0,0,0,0.00662251655629139,0
245178,0.0114068441064639,0,0,0,0
449129,0,0.00454545454545455,0,0,0.00609756097560976
420276,0,0.00454545454545455,0.00337837837837838,0.00662251655629139,0
265526,0.00380228136882129,0,0,0,0
265571,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
35129,0,0.00909090909090909,0.00337837837837838,0,0.00609756097560976
655776,0.00760456273764259,0,0,0,0.0121951219512195
265574,0,0,0.00337837837837838,0,0
210610,0,0,0,0.00662251655629139,0
286102,0,0.00454545454545455,0,0,0.00609756097560976
265531,0,0,0.00337837837837838,0,0
210608,0,0.00454545454545455,0,0,0
97226,0,0.00909090909090909,0,0,0
49251,0.00380228136882129,0,0.0168918918918919,0,0
186019,0,0,0.00337837837837838,0,0.00609756097560976
49242,0.00380228136882129,0,0.00675675675675676,0.00662251655629139,0
265537,0.00380228136882129,0,0,0,0
35124,0.00380228136882129,0.0363636363636364,0.00675675675675676,0.00662251655629139,0.00609756097560976
2838,0.00380228136882129,0.00909090909090909,0.00675675675675676,0,0
505717,0,0.00454545454545455,0,0,0
186033,0,0.00454545454545455,0,0,0
67475,0.00760456273764259,0.00454545454545455,0.00337837837837838,0,0
197760,0,0,0.00337837837837838,0,0.00609756097560976
433415,0,0,0,0.00662251655629139,0
497706,0.00380228136882129,0,0,0,0
497701,0,0.00909090909090909,0,0,0
880756,0,0.00909090909090909,0,0,0
49254,0,0,0,0.0132450331125828,0
382378,0,0,0,0.0132450331125828,0
216616,0,0,0.00337837837837838,0,0
2849,0.00380228136882129,0.00454545454545455,0.0101351351351351,0,0.0548780487804878
216768,0,0.00454545454545455,0,0,0
505991,0,0,0.00337837837837838,0,0
49233,0.00380228136882129,0.0590909090909091,0.0168918918918919,0.033112582781457,0
41953,0.0722433460076046,0.0136363636363636,0.0506756756756757,0.125827814569536,0.23780487804878
996372,0.0494296577946768,0,0.0101351351351351,0,0.00609756097560976
1003111,0.00380228136882129,0,0,0,0
2850,0,0,0,0,0.0304878048780488
420263,0.00380228136882129,0.00454545454545455,0.00337837837837838,0.00662251655629139,0
515460,0.00380228136882129,0,0,0,0
426649,0.00380228136882129,0,0.00675675675675676,0,0
265583,0,0,0.00675675675675676,0,0
265578,0.00380228136882129,0,0.0101351351351351,0.00662251655629139,0
210443,0,0,0.00337837837837838,0,0
210597,0,0,0,0.00662251655629139,0.00609756097560976
1003032,0,0.00454545454545455,0,0.00662251655629139,0
49230,0,0.00909090909090909,0.00675675675675676,0,0
210446,0,0.00454545454545455,0,0,0
3006,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
33644,0.00760456273764259,0.00909090909090909,0.0101351351351351,0.0132450331125828,0.0121951219512195
29206,0,0.00454545454545455,0.00675675675675676,0.0397350993377483,0.0121951219512195
59796,0,0.0363636363636364,0.0135135135135135,0,0
216746,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0.00609756097560976
216800,0,0.0409090909090909,0.0168918918918919,0,0
1030550,0,0.0136363636363636,0,0,0
49248,0.0114068441064639,0.00454545454545455,0.0168918918918919,0.0264900662251656,0.0670731707317073
382376,0.00380228136882129,0,0,0.00662251655629139,0
186035,0.00380228136882129,0.00454545454545455,0.0101351351351351,0,0
912664,0,0,0,0.00662251655629139,0
555755,0,0,0.00337837837837838,0,0
216744,0.0152091254752852,0.0181818181818182,0.00337837837837838,0,0.00609756097560976
265539,0.00380228136882129,0,0.00337837837837838,0.0132450331125828,0
374046,0,0,0,0.00662251655629139,0
1003136,0,0.00454545454545455,0,0,0
1003035,0,0,0.00337837837837838,0,0
265597,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
941920,0.00380228136882129,0,0,0,0
210842,0,0,0.00337837837837838,0,0.00609756097560976
265589,0,0,0.00337837837837838,0,0
1003038,0,0.00454545454545455,0,0,0
232858,0,0.00454545454545455,0,0,0.00609756097560976
420972,0.00380228136882129,0,0,0,0
35127,0.121673003802281,0.131818181818182,0.108108108108108,0.211920529801325,0.0487804878048781
1082658,0.064638783269962,0,0.0337837837837838,0.0198675496688742,0.024390243902439
382381,0,0,0,0.0198675496688742,0
3004,0.00760456273764259,0.00454545454545455,0.0236486486486486,0,0
505987,0.00380228136882129,0,0,0,0
216753,0.00760456273764259,0,0.0101351351351351,0.00662251655629139,0
210619,0,0,0.00337837837837838,0,0
1003107,0,0.00454545454545455,0,0,0
210615,0.00380228136882129,0,0.0135135135135135,0,0.0182926829268293
49259,0,0,0.00337837837837838,0.0132450331125828,0
515467,0.00380228136882129,0,0,0,0
216736,0.0532319391634981,0.00454545454545455,0.00337837837837838,0.00662251655629139,0.00609756097560976
216907,0,0.00454545454545455,0,0.00662251655629139,0.00609756097560976
59811,0,0,0,0.00662251655629139,0
1003026,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
186024,0,0,0,0.00662251655629139,0
197752,0,0.00454545454545455,0,0,0
1003206,0,0.00454545454545455,0.00337837837837838,0,0
188540,0,0,0.0101351351351351,0,0
2852,0.0228136882129278,0,0.0101351351351351,0,0.024390243902439
449147,0,0,0,0,0.00609756097560976
265580,0,0,0.00337837837837838,0,0
232513,0.00760456273764259,0,0,0,0
327390,0,0,0.00337837837837838,0,0
